Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
6/5/2016 3:00:00 AM,0.913675253000000000,6,1.036834773000000000,6,0.859583413000000000,6
6/5/2016 4:00:00 AM,0.696190293000000000,6,0.678234186000000000,6,1.681689973000000000,6
6/5/2016 5:00:00 AM,0.393469706000000000,6,0.968586666000000000,6,2.229612000000000000,6
6/5/2016 6:00:00 AM,0.445549866000000000,6,1.096365600000000000,6,2.117404960000000000,6
6/5/2016 7:00:00 AM,0.487199093000000000,6,1.156492480000000000,6,0.904361920000000000,6
6/5/2016 8:00:00 AM,0.486901066000000000,6,1.852161226000000000,6,0.933941066000000000,6
6/5/2016 9:00:00 AM,1.135779626000000000,6,1.709406453000000000,6,1.854768960000000000,6
6/5/2016 10:00:00 AM,1.264452640000000000,6,1.898131840000000000,6,1.764690400000000000,6
6/5/2016 11:00:00 AM,1.713057280000000000,6,2.010711413000000000,6,2.195487946000000000,6
6/5/2016 12:00:00 PM,3.989682986000000000,6,2.317082826000000000,6,2.728285120000000000,6
6/5/2016 1:00:00 PM,5.302639466000000000,6,2.541645920000000000,6,3.601205226000000000,6
6/5/2016 2:00:00 PM,6.266755733000000000,6,3.399888213000000000,6,3.300272800000000000,6
6/5/2016 3:00:00 PM,6.294323200000000000,6,3.939316480000000000,6,3.655222560000000000,6
6/5/2016 4:00:00 PM,7.277811200000000000,6,4.445067733000000000,6,4.125210613000000000,6
6/5/2016 5:00:00 PM,6.878455466000000000,6,4.039527946000000000,6,3.851547626000000000,6
6/5/2016 6:00:00 PM,7.048330666000000000,6,4.304250133000000000,6,3.355184213000000000,6
6/5/2016 7:00:00 PM,5.706018560000000000,6,3.414491520000000000,6,3.128683946000000000,6
6/5/2016 8:00:00 PM,1.821762506000000000,6,2.568691840000000000,6,2.522944746000000000,6
6/5/2016 9:00:00 PM,2.352771520000000000,6,2.233933386000000000,6,2.200554400000000000,6
6/5/2016 10:00:00 PM,2.253454133000000000,6,2.193699786000000000,6,2.279307946000000000,6
6/5/2016 11:00:00 PM,2.878639573000000000,6,2.396432426000000000,6,2.478613280000000000,6
6/6/2016 12:00:00 AM,2.364469066000000000,6,2.339732853000000000,6,1.886434293000000000,6
6/6/2016 1:00:00 AM,1.920036800000000000,6,1.524480906000000000,6,2.189378400000000000,6
6/6/2016 2:00:00 AM,0.836635360000000000,6,1.667086666000000000,6,1.734142666000000000,6
6/6/2016 3:00:00 AM,1.106051466000000000,6,1.957290133000000000,6,0.923286613000000000,6
6/6/2016 4:00:00 AM,1.359746666000000000,6,1.787042400000000000,6,1.734291680000000000,6
6/6/2016 5:00:00 AM,1.656357706000000000,6,2.190123466000000000,6,1.831075840000000000,6
6/6/2016 6:00:00 AM,0.983711520000000000,6,1.424641973000000000,6,1.714621920000000000,6
6/6/2016 7:00:00 AM,0.881935413000000000,6,1.361758346000000000,6,1.980163680000000000,6
6/6/2016 8:00:00 AM,0.780755360000000000,6,1.556369760000000000,6,2.177680853000000000,6
6/6/2016 9:00:00 AM,1.602191360000000000,6,1.779889760000000000,6,2.432568160000000000,6
6/6/2016 10:00:00 AM,1.729076213000000000,6,2.222459360000000000,6,1.800677120000000000,6
6/6/2016 11:00:00 AM,3.403390026000000000,6,3.038009333000000000,6,2.077245866000000000,6
6/6/2016 12:00:00 PM,3.805800533000000000,6,3.064310186000000000,6,2.258297066000000000,6
6/6/2016 1:00:00 PM,4.666352533000000000,6,3.288649760000000000,6,3.016104373000000000,6
6/6/2016 2:00:00 PM,5.030690133000000000,6,3.813623733000000000,6,2.794596053000000000,6
6/6/2016 3:00:00 PM,5.381616533000000000,6,3.983051893000000000,6,2.628446186000000000,6
6/6/2016 4:00:00 PM,5.161821866000000000,6,4.019709173000000000,6,2.701239200000000000,6
6/6/2016 5:00:00 PM,4.290093866000000000,6,3.656638186000000000,6,2.093488320000000000,6
6/6/2016 6:00:00 PM,2.649829600000000000,6,3.175846666000000000,6,1.724680320000000000,6
6/6/2016 7:00:00 PM,3.092622720000000000,6,2.879533653000000000,6,2.377358720000000000,6
6/6/2016 8:00:00 PM,1.836812853000000000,6,2.314400586000000000,6,1.758729866000000000,6
6/6/2016 9:00:00 PM,1.015451360000000000,6,1.356393866000000000,6,1.106796533000000000,6
6/6/2016 10:00:00 PM,1.589078186000000000,6,1.575443466000000000,6,1.077217386000000000,6
6/6/2016 11:00:00 PM,1.636687946000000000,6,1.339406346000000000,6,1.880920800000000000,6
6/7/2016 12:00:00 AM,1.011204480000000000,6,0.896315200000000000,6,2.351951946000000000,6
6/7/2016 1:00:00 AM,0.659234986000000000,6,1.401395893000000000,6,1.265719253000000000,6
6/7/2016 2:00:00 AM,0.871877013000000000,6,1.937173333000000000,6,0.566772213000000000,6
